,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature(F),Wind Speed (mph)
0,Ilulissat,56,GL,1553385000,49,69.22,-51.1,1.4,17.22
1,Dikson,76,RU,1553386961,93,73.51,80.55,18.25,23.06
2,Chuy,8,UY,1553386795,81,-33.69,-53.46,65.32,11.32
3,Nanortalik,80,GL,1553386962,100,60.14,-45.24,21.94,7.74
4,Namibe,8,AO,1553386962,100,-15.19,12.15,78.01,4.16
5,Busselton,12,AU,1553386817,52,-33.64,115.35,57.99,13.33
6,Jawa,32,NG,1553386964,37,12.81,11.04,75.85,7.63
7,Ushuaia,40,AR,1553382000,62,-54.81,-68.31,53.6,8.05
8,Geraldton,20,CA,1553385600,21,49.72,-86.95,48.2,10.29
9,Severo-Kurilsk,88,RU,1553386965,99,50.68,156.12,30.04,19.48
10,Kabinda,76,CD,1553386965,97,-6.14,24.49,69.37,6.73
11,Takoradi,8,GH,1553386965,100,4.89,-1.75,81.25,5.5
12,Laguna,0,MX,1553386966,21,27.52,-110.01,83.59,5.84
13,Tongren,100,CN,1553386966,98,27.72,109.18,41.02,5.39
14,Hobart,20,AU,1553386647,52,-42.88,147.33,68.0,9.17
15,Agadez,80,NE,1553386967,27,16.97,7.99,74.95,5.61
16,Iqaluit,90,CA,1553386377,71,63.75,-68.52,6.8,33.33
17,Albany,1,US,1553386753,54,42.65,-73.75,35.01,10.29
18,Arawa,56,NG,1553385600,94,7.05,3.9,78.8,5.82
19,Qaanaaq,20,GL,1553386761,78,77.48,-69.36,-26.31,10.98
20,Avarua,76,CK,1553383800,74,-21.21,-159.78,84.2,8.05
21,Faanui,8,PF,1553386969,100,-16.48,-151.75,84.4,9.64
22,La Ronge,40,CA,1553385600,63,55.1,-105.3,26.6,12.75
23,Victoria,75,BN,1553383800,88,5.28,115.24,80.6,4.38
24,Puerto Ayora,20,EC,1553386569,74,-0.74,-90.35,84.2,11.41
25,Vardo,1,US,1553386697,30,39.62,-77.74,46.99,13.87
26,Carnarvon,76,ZA,1553386765,21,-30.97,22.13,69.73,4.72
27,Bambanglipuro,24,ID,1553386971,96,-7.95,110.28,75.22,4.05
28,Umm Kaddadah,24,SD,1553386971,26,13.6,26.69,69.73,2.93
29,Tuatapere,68,NZ,1553386971,72,-46.13,167.69,67.03,8.63
30,Nikolskoye,90,RU,1553386836,86,59.7,30.79,39.2,6.71
31,Zhangye,0,CN,1553386972,58,38.94,100.46,24.82,9.19
32,Palmas de Monte Alto,88,BR,1553386973,94,-14.26,-43.16,71.53,3.71
33,Maxixe,68,MZ,1553386973,90,-23.86,35.35,77.2,11.43
34,Mataura,92,NZ,1553386712,51,-46.19,168.86,70.81,5.95
35,Dongsheng,92,CN,1553386973,85,29.72,112.52,47.23,2.71
36,Hambantota,0,LK,1553386974,100,6.12,81.12,78.73,4.38
37,Ancud,90,CL,1553382000,82,-41.87,-73.83,55.4,1.12
38,Sechura,24,PE,1553386974,72,-5.56,-80.82,77.83,13.0
39,Port Elizabeth,1,US,1553386950,28,39.31,-74.98,50.0,8.05
40,North Platte,90,US,1553386839,70,41.12,-100.77,46.4,8.05
41,Cherskiy,20,RU,1553386975,68,68.75,161.3,4.75,2.15
42,Sur,12,OM,1553386975,95,22.57,59.53,72.16,5.17
43,Norman Wells,75,CA,1553385600,64,65.28,-126.83,33.8,14.99
44,Hithadhoo,92,MV,1553386813,100,-0.6,73.08,86.2,7.74
45,South Yuba City,75,US,1553386684,58,39.12,-121.64,66.0,4.05
46,Georgetown,20,GY,1553382000,69,6.8,-58.16,82.4,6.93
47,Vostok,0,RU,1553386976,49,46.45,135.83,15.91,2.93
48,Hermanus,68,ZA,1553386581,94,-34.42,19.24,64.0,2.93
49,San Jose,8,PH,1553386934,72,15.79,120.99,75.31,3.15
50,Masindi,0,UG,1553386978,52,1.69,31.72,67.48,10.42
51,Saskylakh,0,RU,1553386822,35,71.97,114.09,-24.06,2.93
52,Wagar,8,US,1553386951,47,31.44,-87.99,66.0,1.01
53,Provideniya,88,RU,1553386979,100,64.42,-173.23,19.6,20.83
54,Cabo San Lucas,5,MX,1553386666,47,22.89,-109.91,78.01,9.17
55,Kodiak,90,US,1553386701,83,39.95,-94.76,55.99,9.17
56,Panaba,0,MX,1553386933,32,21.28,-88.27,82.06,6.96
